,Pincode,Placename,District,State,Taluka,Latitude,Longitude,Full_address
36230,400001,Mumbai G.P.O.,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Mumbai G.P.O.,Mumbai,Mumbai"
36231,400001,Bazargate,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Bazargate,Mumbai,Mumbai"
36232,400001,Town Hall (Mumbai),Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Town Hall (Mumbai),Mumbai,Mumbai"
36233,400001,Tajmahal,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Tajmahal,Mumbai,Mumbai"
36235,400001,Stock Exchange,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Stock Exchange,Mumbai,Mumbai"
36236,400001,M.P.T.,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"M.P.T.,Mumbai,Mumbai"
36237,400002,Kalbadevi,Mumbai,Maharashtra,Mumbai,17.0509,73.291,"Kalbadevi,Mumbai,Mumbai"
36238,400002,S. C. Court,Mumbai,Maharashtra,Mumbai,17.0509,73.291,"S. C. Court,Mumbai,Mumbai"
36239,400002,Ramwadi,Mumbai,Maharashtra,Mumbai,17.0509,73.291,"Ramwadi,Mumbai,Mumbai"
36240,400002,Thakurdwar,Mumbai,Maharashtra,Mumbai,17.0509,73.291,"Thakurdwar,Mumbai,Mumbai"
36245,400004,Girgaon,Mumbai,Maharashtra,Mumbai,18.95,72.8167,"Girgaon,Mumbai,Mumbai"
36246,400004,Opera House,Mumbai,Maharashtra,Mumbai,18.95,72.8167,"Opera House,Mumbai,Mumbai"
36247,400004,Ambewadi (Mumbai),Mumbai,Maharashtra,Mumbai,18.95,72.8167,"Ambewadi (Mumbai),Mumbai,Mumbai"
36248,400004,Charni Road,Mumbai,Maharashtra,Mumbai,18.95,72.8167,"Charni Road,Mumbai,Mumbai"
36249,400004,Chaupati,Mumbai,Maharashtra,Mumbai,18.95,72.8167,"Chaupati,Mumbai,Mumbai"
36250,400004,Madhavbaug,Mumbai,Maharashtra,Mumbai,18.95,72.8167,"Madhavbaug,Mumbai,Mumbai"
